sample_id	filename	file_type	size	file_ome	open_access
MOHD_EA100018	MOHD_EA100018_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	222033	ATAC_SEQ	True
MOHD_EA100018	MOHD_EA100018_unfiltered_GRCh38_v0.bam	Aligned reads	4702989189	ATAC_SEQ	False
MOHD_EA100018	MOHD_EA100018_signal-pvalue_GRCh38_v0.bigWig	p-value signal	496123248	ATAC_SEQ	True
MOHD_EA100018	MOHD_EA100018_R2.fastq.gz	Sequenced reads	1535450808	ATAC_SEQ	False
MOHD_EA100018	MOHD_EA100018_filtered_GRCh38_v0.bam	Aligned reads	2877628088	ATAC_SEQ	False
MOHD_EA100018	MOHD_EA100018_R1.fastq.gz	Sequenced reads	1438814044	ATAC_SEQ	False
MOHD_EA100019	MOHD_EA100019_signal-pvalue_GRCh38_v0.bigWig	p-value signal	472750489	ATAC_SEQ	True
MOHD_EA100019	MOHD_EA100019_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	526018	ATAC_SEQ	True
MOHD_EA100019	MOHD_EA100019_filtered_GRCh38_v0.bam	Aligned reads	2619930050	ATAC_SEQ	False
MOHD_EA100019	MOHD_EA100019_R1.fastq.gz	Sequenced reads	1331439861	ATAC_SEQ	False
MOHD_EA100019	MOHD_EA100019_signal-FC_GRCh38_v0.bigWig	Fold change signal	551225917	ATAC_SEQ	True
MOHD_EA100019	MOHD_EA100019_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	881623	ATAC_SEQ	True
MOHD_EA100019	MOHD_EA100019_R2.fastq.gz	Sequenced reads	1395864371	ATAC_SEQ	False
MOHD_EA100019	MOHD_EA100019_unfiltered_GRCh38_v0.bam	Aligned reads	4305704714	ATAC_SEQ	False
MOHD_EA100020	MOHD_EA100020_R2.fastq.gz	Sequenced reads	1685774663	ATAC_SEQ	False
MOHD_EA100020	MOHD_EA100020_R1.fastq.gz	Sequenced reads	1632087572	ATAC_SEQ	False
